City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,yellowknife,62.456,-114.3525,-1.7099999999999795,86,100,6.17,CA,1681184602
98,chokurdakh,70.6333,147.9167,-16.269999999999982,82,84,2.38,RU,1681184602
99,wangaratta,-36.3667,146.3333,20.260000000000048,48,7,1.27,AU,1681184603
100,namibe,-15.1961,12.1522,22.52000000000004,79,3,1.0,AO,1681184603
101,port elizabeth,-33.918,25.5701,15.610000000000014,72,0,9.26,ZA,1681184603
102,meulaboh,4.1363,96.1285,29.32000000000005,67,97,0.4,ID,1681184603
103,jamestown,42.097,-79.2353,10.800000000000011,52,0,1.54,US,1681184528
104,tateyama,34.9833,139.8667,18.08000000000004,69,0,10.38,JP,1681184604
105,batemans bay,-35.7167,150.1833,19.5,55,69,5.56,AU,1681184604
106,jalu,29.0331,21.5482,11.939999999999998,74,0,3.97,LY,1681184604
107,castro,-24.7911,-50.0119,13.310000000000002,97,1,2.03,BR,1681184604
108,urumqi,43.801,87.6005,11.53000000000003,41,0,1.0,CN,1681184605
109,thompson,55.7435,-97.8558,8.090000000000032,39,20,6.17,CA,1681184431
110,kenai,60.5544,-151.2583,-2.7299999999999613,76,100,2.06,US,1681184605
111,hermanus,-34.4187,19.2345,11.560000000000002,69,62,1.29,ZA,1681184605
112,lebu,-37.6167,-73.65,14.910000000000025,99,74,2.71,CL,1681184605
113,guanica,17.9716,-66.908,25.590000000000032,84,1,3.31,PR,1681184605
114,novobiryusinskiy,56.9578,97.7076,4.910000000000025,73,100,5.15,RU,1681184605
115,kavaratti,10.5669,72.642,28.77000000000004,67,71,1.78,IN,1681184606
116,yerofey pavlovich,53.9667,121.9667,1.5,70,100,4.04,RU,1681184606
117,hasaki,35.7333,140.8333,23.220000000000027,64,0,11.17,JP,1681184606
118,haines junction,60.7522,-137.5108,-1.0299999999999727,43,9,4.63,CA,1681184606
119,rawson,-43.3002,-65.1023,13.100000000000023,62,100,6.68,AR,1681184606
120,susangerd,31.5608,48.1831,25.340000000000032,39,100,4.34,IR,1681184607
121,mitsamiouli,-11.3847,43.2844,27.480000000000018,77,9,3.29,KM,1681184607
122,provideniya,64.3833,-173.3,-18.68999999999997,60,0,7.0,RU,1681184607
123,cabo san lucas,22.8909,-109.9124,25.170000000000016,35,40,5.14,MX,1681184608
124,madimba,-10.4,40.3333,24.510000000000048,92,40,2.71,TZ,1681184608
125,piacabucu,-10.4056,-36.4344,25.24000000000001,84,100,1.78,BR,1681184608
126,severo-kurilsk,50.6789,156.125,-0.5699999999999932,83,84,14.14,RU,1681184608
127,solok,-0.7918,100.6593,27.53000000000003,58,91,0.91,ID,1681184609
128,valparaiso,-33.0393,-71.6273,17.220000000000027,67,40,3.97,CL,1681184279
129,natal,-5.795,-35.2094,24.360000000000014,94,20,2.06,BR,1681184406
130,iki-burul,45.8208,44.6472,10.850000000000023,66,47,8.14,RU,1681184609
131,bambous virieux,-20.3428,57.7575,25.120000000000005,94,75,0.0,MU,1681184609
132,saint-francois,46.4154,3.9054,11.490000000000009,87,0,1.03,FR,1681184610
133,gizo,-8.103,156.8419,27.99000000000001,74,100,0.75,SB,1681184610
134,shingu,33.7333,135.9833,20.370000000000005,55,72,6.21,JP,1681184610
135,saint-pierre,-21.3393,55.4781,24.760000000000048,83,0,2.57,RE,1681184610
136,pisco,-13.7,-76.2167,22.230000000000018,94,48,5.14,PE,1681184610
137,kitgum,3.2783,32.8867,20.29000000000002,56,66,2.25,UG,1681184610
138,puerto ayora,-0.7393,-90.3518,26.420000000000016,89,62,0.49,EC,1681184611
139,rajakhera,26.8961,78.1714,33.370000000000005,9,72,2.23,IN,1681184611
140,longyearbyen,78.2186,15.6401,-4.089999999999975,80,75,5.14,SJ,1681184498
141,bredasdorp,-34.5322,20.0403,12.939999999999998,78,57,2.15,ZA,1681184611
142,pankovka,58.5,31.1999,4.57000000000005,79,89,1.64,RU,1681184611
143,sligo,54.2697,-8.4694,2.5600000000000023,89,10,3.19,IE,1681184611
144,corrente,-3.7367,-43.3394,22.640000000000043,99,100,0.94,BR,1681184612
145,auki,-8.7676,160.7034,25.730000000000018,88,95,0.93,SB,1681184612
146,kalaleh,37.3807,55.4916,11.78000000000003,94,75,2.06,IR,1681184612
147,victoria,22.2855,114.1577,27.03000000000003,87,99,0.45,HK,1681184467
148,araouane,18.9048,-3.5265,25.360000000000014,15,99,5.1,ML,1681184612
149,cherskiy,68.75,161.3,-12.729999999999961,79,8,2.86,RU,1681184613
150,barrow,71.2906,-156.7887,-17.98999999999998,71,100,6.69,US,1681184613
151,hofn,64.2539,-15.2082,3.1899999999999977,86,100,2.58,IS,1681184613
152,acajutla,13.5928,-89.8275,26.77000000000004,70,49,3.41,SV,1681184613
153,acari,-15.4311,-74.6158,23.730000000000018,77,59,0.94,PE,1681184613
154,pio xii,-3.8325,-45.1525,22.870000000000005,99,100,1.36,BR,1681184614
155,faanui,-16.4833,-151.75,27.74000000000001,73,100,4.0,PF,1681184614
156,kieta,-6.2167,155.6333,28.900000000000034,77,100,3.06,PG,1681184614
157,kapaa,22.0752,-159.319,26.99000000000001,78,40,7.2,US,1681184614
158,gat,31.61,34.7642,17.670000000000016,100,100,4.31,IL,1681184614
159,cruzeiro do sul,-29.5128,-51.9853,22.510000000000048,90,49,0.83,BR,1681184614
160,kaeo,-35.1,173.7833,21.850000000000023,86,25,7.88,NZ,1681184615
161,paamiut,61.994,-49.6678,0.10000000000002274,81,96,3.14,GL,1681184615
162,tiksi,71.6872,128.8694,-18.95999999999998,93,40,1.72,RU,1681184615
163,ngama,11.7833,17.1667,27.640000000000043,23,100,0.51,TD,1681184615
164,geraldton,-28.7667,114.6,23.230000000000018,46,75,4.63,AU,1681184615
165,kodiak,57.79,-152.4072,2.730000000000018,32,0,2.57,US,1681184440
166,biskamzha,53.4497,89.5272,5.680000000000007,63,54,7.31,RU,1681184615
167,ahar,38.4774,47.0699,14.370000000000005,42,98,1.61,IR,1681184616
168,grindavik,63.8424,-22.4338,3.9700000000000273,100,75,3.6,IS,1681184616
169,salistea de sus,47.65,24.35,2.660000000000025,89,23,1.27,RO,1681184616
170,bombay,19.0144,72.8479,31.99000000000001,48,20,1.54,IN,1681184369
171,carnarvon,-24.8667,113.6333,23.57000000000005,46,13,8.36,AU,1681184616
172,pevek,69.7008,170.3133,-22.23999999999998,90,68,0.78,RU,1681184617
173,ocean city,39.2776,-74.5746,10.140000000000043,67,0,1.79,US,1681184617
174,muroto,33.2833,134.15,18.310000000000002,71,83,6.64,JP,1681184617
175,ancud,-41.8697,-73.8203,13.700000000000045,97,99,3.61,CL,1681184617
176,tucurui,-3.7661,-49.6725,23.180000000000007,98,98,0.98,BR,1681184617
177,kuhdasht,33.535,47.6061,17.629999999999995,38,100,2.65,IR,1681184617
178,saint-philippe,-21.3585,55.7679,22.77000000000004,76,100,3.45,RE,1681184617
179,kaabong,3.4836,34.1492,18.410000000000025,64,76,2.56,UG,1681184618
180,alekseyevsk,57.8406,108.3492,-3.2199999999999704,70,72,4.46,RU,1681184618
181,labuhan,-6.8844,112.2051,29.700000000000045,67,63,4.01,ID,1681184618
182,arraial do cabo,-22.9661,-42.0278,22.650000000000034,74,70,2.4,BR,1681184618
183,kaitangata,-46.2817,169.8464,14.439999999999998,83,64,2.34,NZ,1681184618
184,shimoda,34.6667,138.95,21.200000000000045,65,16,7.11,JP,1681184618
185,jutai,-5.1833,-68.9,21.99000000000001,99,67,0.77,BR,1681184618
186,kalmunai,7.4167,81.8167,29.78000000000003,61,72,4.03,LK,1681184619
187,lingao,19.9103,109.6859,29.879999999999995,63,14,2.58,CN,1681184619
188,leningradskiy,69.3833,178.4167,-18.45999999999998,90,38,2.77,RU,1681184619
189,egvekinot,66.3167,-179.1667,-18.72999999999999,82,8,1.09,RU,1681184619
190,pedernales,18.0384,-71.744,25.689999999999998,76,5,1.72,DO,1681184619
191,marrakesh,31.6315,-8.0083,19.04000000000002,52,3,1.54,MA,1681184603
192,iskateley,67.6803,53.1512,0.26000000000004775,99,100,5.38,RU,1681184620
193,ginda,30.6945,78.4932,20.900000000000034,18,52,1.74,IN,1681184620
194,bama,11.5221,13.6856,28.360000000000014,22,100,2.78,NG,1681184620
195,henties bay,-22.116,14.2845,13.770000000000039,81,0,2.75,NA,1681184620
196,airai,-8.9266,125.4092,22.430000000000007,71,52,1.53,TL,1681184620
197,kinsale,51.7075,-8.5306,5.650000000000034,87,40,4.12,IE,1681184620
198,solnechnyy,50.7214,136.6319,2.740000000000009,89,100,1.66,RU,1681184620
199,komsomolskiy,40.4272,71.7189,16.400000000000034,63,75,1.03,UZ,1681184621
200,klaksvik,62.2266,-6.589,6.510000000000048,81,100,5.05,FO,1681184621
201,salalah,17.0151,54.0924,27.05000000000001,78,20,1.54,OM,1681184621
202,ereymentau,51.6199,73.1033,0.4000000000000341,83,87,3.37,KZ,1681184621
203,kasongo,-4.45,26.6667,19.870000000000005,97,95,0.89,CD,1681184621
204,alihe,50.5667,123.7167,4.330000000000041,29,64,3.13,CN,1681184621
205,sept-iles,50.2001,-66.3821,7.0,68,75,3.09,CA,1681184621
206,mayo,38.8876,-76.5119,12.5,52,0,3.6,US,1681184621
207,fairbanks,64.8378,-147.7164,-9.389999999999986,52,40,2.06,US,1681184354
208,nampula,-15.1165,39.2666,20.590000000000032,98,34,0.92,MZ,1681184622
209,mahanoro,-19.9,48.8,22.689999999999998,88,9,1.34,MG,1681184622
210,greenfield,42.9614,-88.0126,15.03000000000003,53,0,2.57,US,1681184622
211,jiuquan,39.7432,98.5174,14.57000000000005,20,56,2.98,CN,1681184622
212,songea,-10.6833,35.65,16.420000000000016,97,87,0.62,TZ,1681184623
213,los llanos de aridane,28.6585,-17.9182,19.860000000000014,40,0,4.63,ES,1681184623
214,svetlogorsk,52.6333,29.7333,7.590000000000032,78,43,1.4,BY,1681184623
215,ngunguru,-35.6167,174.5,20.27000000000004,80,24,9.17,NZ,1681184623
216,lukovetskiy,64.2956,41.9211,-0.3199999999999932,90,100,2.53,RU,1681184623
217,brae,60.3964,-1.353,6.810000000000002,87,100,5.14,GB,1681184624
218,kahului,20.8947,-156.47,25.010000000000048,73,40,9.26,US,1681184624
219,bathsheba,13.2167,-59.5167,26.340000000000032,69,40,8.75,BB,1681184624
220,hirara,24.8,125.2833,25.920000000000016,65,40,4.12,JP,1681184624
221,rincon,32.296,-81.2354,16.590000000000032,67,40,4.12,US,1681184624
222,okha,53.5739,142.9478,0.4500000000000455,50,0,2.6,RU,1681184624
223,montevideo,-34.8335,-56.1674,19.730000000000018,81,0,3.13,UY,1681184624
224,russell,32.3502,-85.1999,14.600000000000023,64,52,2.79,US,1681184625
225,souillac,-20.5167,57.5167,24.210000000000036,94,75,0.0,MU,1681184625
226,mount gambier,-37.8333,140.7667,19.010000000000048,46,100,3.05,AU,1681184625
227,qandala,11.472,49.8728,28.840000000000032,57,1,4.21,SO,1681184625
228,chenzhou,25.8,113.0333,22.470000000000027,86,98,0.94,CN,1681184625
229,jalingo,8.8833,11.3667,29.220000000000027,59,100,2.85,NG,1681184626
230,beloha,-25.1667,45.05,21.99000000000001,85,0,0.8,MG,1681184626
231,taywarah,33.35,64.4167,9.650000000000034,41,40,2.24,AF,1681184626
232,la primavera,5.4906,-70.4092,27.160000000000025,70,61,1.22,CO,1681184626
233,aksarka,66.5606,67.7975,-16.689999999999998,89,100,0.55,RU,1681184626
234,do gonbadan,30.3586,50.7981,15.050000000000011,63,0,0.0,IR,1681184626
235,esperance,-33.8667,121.9,19.82000000000005,64,76,10.14,AU,1681184627
236,barra patuca,15.8,-84.2833,24.730000000000018,74,14,2.9,HN,1681184627
237,malanje,-9.5402,16.341,17.730000000000018,98,100,0.64,AO,1681184627
238,gondanglegi,-7.7479,112.0132,29.75,70,63,0.76,ID,1681184627
239,eureka,40.8021,-124.1637,14.300000000000011,95,100,1.34,US,1681184437
240,mugumu,-1.85,34.7,14.29000000000002,92,75,1.95,TZ,1681184627
241,cascais,38.6979,-9.4215,15.840000000000032,83,16,6.71,PT,1681184527
242,north bend,43.4065,-124.2243,6.800000000000011,94,100,2.57,US,1681184628
243,sao filipe,14.8961,-24.4956,21.870000000000005,64,77,1.63,CV,1681184628
244,gerash,27.6652,54.1371,17.08000000000004,31,100,1.23,IR,1681184628
245,samarai,-10.6167,150.6667,26.04000000000002,84,100,3.2,PG,1681184628
246,payo,-3.7508,103.6372,32.04000000000002,52,92,1.17,ID,1681184628
247,shenjiamen,29.9576,122.298,16.670000000000016,89,92,5.54,CN,1681184628
248,new plymouth,-39.0667,174.0833,17.120000000000005,96,100,6.51,NZ,1681184629
249,saldanha,-33.0117,17.9442,7.03000000000003,78,24,4.07,ZA,1681184629
250,ulaangom,49.9811,92.0667,-4.099999999999966,47,100,2.59,MN,1681184629
251,peniche,39.3558,-9.3811,16.160000000000025,88,12,5.71,PT,1681184336
252,hami,42.8,93.45,16.410000000000025,13,81,1.59,CN,1681184629
253,jacobina,-11.1806,-40.5183,20.170000000000016,98,87,1.57,BR,1681184629
254,ponta delgada,37.7333,-25.6667,16.400000000000034,94,75,4.12,PT,1681184629
255,rundu,-17.9333,19.7667,17.060000000000002,84,99,1.59,NA,1681184631
256,elizabeth city,36.2946,-76.2511,7.7900000000000205,89,2,1.38,US,1681184529
257,fallon,39.4735,-118.7774,20.930000000000007,36,20,7.2,US,1681184631
258,kamenka,51.3223,42.7678,6.980000000000018,54,63,2.6,RU,1681184631
259,santa rita,-7.1139,-34.9781,25.370000000000005,94,20,1.54,BR,1681184631
260,turinskaya sloboda,57.6232,64.3858,-1.7799999999999727,49,99,3.96,RU,1681184631
261,ilulissat,69.2167,-51.1,6.010000000000048,36,17,11.32,GL,1681184631
262,kyren,51.6828,102.1408,4.400000000000034,37,20,1.94,RU,1681184631
263,skeldon,5.8833,-57.1333,24.24000000000001,92,18,2.75,GY,1681184631
264,obo,5.3998,26.4869,20.189999999999998,93,100,1.9,CF,1681184632
265,baykit,61.67,96.37,-5.439999999999998,93,100,2.0,RU,1681184632
266,tilik,13.8144,120.2002,26.710000000000036,74,100,3.84,PH,1681184632
267,kuusamo,65.9667,29.1833,-7.979999999999961,93,0,0.51,FI,1681184632
268,tulle,45.3333,1.8333,8.32000000000005,96,100,2.57,FR,1681184632
269,suluq,31.6682,20.2521,12.890000000000043,66,5,5.0,LY,1681184632
270,suntar,62.1444,117.6319,-6.0499999999999545,72,100,1.22,RU,1681184632
271,marawi,7.9986,124.2928,25.840000000000032,67,98,2.71,PH,1681184633
272,asau,46.4333,26.4,6.510000000000048,90,100,2.66,RO,1681184633
273,olafsvik,64.8945,-23.7142,3.680000000000007,90,100,3.35,IS,1681184634
274,hervey bay,-25.2986,152.8535,27.79000000000002,45,0,2.68,AU,1681184576
275,bauchi,10.5,10.0,25.55000000000001,22,100,1.27,NG,1681184634
276,lompoc,34.6391,-120.4579,13.210000000000036,90,11,0.89,US,1681184634
277,gannan,47.9147,123.5031,6.170000000000016,18,79,5.96,CN,1681184634
278,tual,-5.6667,132.75,28.77000000000004,71,21,1.69,ID,1681184634
279,kruisfontein,-34.0033,24.7314,13.82000000000005,78,32,8.18,ZA,1681184634
280,ulladulla,-35.35,150.4667,20.980000000000018,54,31,6.08,AU,1681184635
281,dokri,27.3743,68.0967,31.660000000000025,17,100,1.18,PK,1681184635
282,gasa,31.5,34.4667,17.710000000000036,70,100,5.67,PS,1681184633
283,cidreira,-30.1811,-50.2056,22.400000000000034,86,17,4.53,BR,1681184635
284,abonnema,4.7084,6.7931,26.160000000000025,88,100,2.38,NG,1681184635
285,ada,43.4166,-116.1262,21.340000000000032,34,20,9.77,US,1681184635
286,kununurra,-15.7667,128.7333,29.99000000000001,70,75,3.6,AU,1681184636
287,ixtapa,20.7,-105.2,24.010000000000048,83,0,1.03,MX,1681184636
288,georgetown,5.4112,100.3354,31.960000000000036,70,20,2.06,MY,1681184400
289,iqaluit,63.7506,-68.5145,-15.149999999999977,78,75,0.0,CA,1681184636
290,galesong,-5.3166,119.3661,28.010000000000048,74,36,5.55,ID,1681184636
291,tuatapere,-46.1333,167.6833,13.410000000000025,94,100,2.82,NZ,1681184636
292,pouembout,-21.1333,164.9,28.210000000000036,64,18,3.16,NC,1681184636
293,port blair,11.6667,92.75,31.02000000000004,70,20,3.09,IN,1681184636
294,sitio novo do tocantins,-5.5183,-47.4611,22.710000000000036,95,100,1.23,BR,1681184637
295,coaticook,45.1334,-71.7991,11.870000000000005,84,75,2.66,CA,1681184637
296,bowen,-20.0167,148.2333,28.260000000000048,66,2,5.45,AU,1681184637
297,hobyo,5.3505,48.5268,28.420000000000016,72,86,6.84,SO,1681184637
298,quatre cocos,-20.2078,57.7625,25.05000000000001,77,99,6.36,MU,1681184637
299,qaanaaq,77.484,-69.3632,-25.329999999999984,73,0,2.54,GL,1681184637
300,cambrils,41.0748,1.0524,13.920000000000016,82,0,2.57,ES,1681184637
301,tiznit,29.5833,-9.5,20.32000000000005,16,18,2.59,MA,1681184637
302,pacific grove,36.6177,-121.9166,12.990000000000009,90,100,4.12,US,1681184638
303,portobelo,9.55,-79.65,23.950000000000045,88,56,4.74,PA,1681184638
